Country,household
Afghanistan,8.04
Albania,3.3
Angola,4.82
Argentina,3.26
Armenia,3.54
Aruba,2.89
Australia,2.55
Austria,2.27
Azerbaijan,4.55
Bahamas,3.4
Bangladesh,4.47
Belarus,2.455
Belgium,2.34
Benin,5.19
Bermuda,2.26
Bolivia,3.53
Botswana,3.52
Brazil,3.31
Bulgaria,2.34
Burkina Faso,5.92
Burundi,4.83
Cambodia,4.61
Cameroon,4.99
Canada,2.45
Central African Republic,4.91
Chad,5.78
Chile,3.575
China,3.38
"China, Hong Kong SAR",2.83
"China, Macao SAR",3.07
Colombia,3.53
Comoros,5.37
Congo,4.31
Costa Rica,3.46
Croatia,2.8
Cuba,3.14
Cyprus,2.755
Czechia,2.37
Côte d'Ivoire,5.09
Dem. People's Rep. of Korea,3.93
Dem. Republic of the Congo,5.3
Dominican Republic,3.48
Ecuador,3.78
Egypt,4.13
El Salvador,4.07
Estonia,2.3
Ethiopia,4.61
Fiji,4.57
Finland,2.07
France,2.22
French Guiana,3.45
Gabon,4.1
Gambia,8.23
Georgia,3.34
Germany,2.0949999999999998
Ghana,3.49
Greece,2.5
Guadeloupe,2.3
Guatemala,4.81
Guinea,6.25
Guyana,3.8
Haiti,4.29
Honduras,4.47
Hungary,2.48
India,4.57
Indonesia,3.86
Iran (Islamic Republic of),3.5
Iraq,7.7
Ireland,2.77
Isle of Man,2.28
Israel,3.14
Italy,2.4
Jamaica,3.06
Japan,2.33
Jordan,4.72
Kazakhstan,3.5
Kenya,3.64
Kyrgyzstan,4.21
Lao People's Dem. Republic,5.77
Latvia,2.48
Lesotho,3.34
Liberia,4.95
Liechtenstein,2.32
Lithuania,2.3499999999999996
Luxembourg,2.41
Madagascar,4.95
Malawi,4.51
Malaysia,4.5649999999999995
Maldives,5.4
Mali,5.81
Malta,2.76
Martinique,2.25
Mauritius,3.48
Mayotte,4.1
Mexico,3.74
Mongolia,4.32
Montenegro,3.21
Morocco,5.24
Mozambique,4.37
Myanmar,4.22
Namibia,4.24
Nepal,4.24
Netherlands,2.23
New Zealand,2.67
Nicaragua,4.92
Niger,5.92
Nigeria,4.9
Norway,2.22
Oman,8.02
Pakistan,6.8
Panama,3.67
Papua New Guinea,5.43
Paraguay,4.63
Peru,3.75
Philippines,4.23
Poland,2.815
Portugal,2.6166666666666667
Puerto Rico,2.67
Republic of Korea,2.53
Republic of Moldova,2.89
Romania,2.775
Russian Federation,2.58
Rwanda,4.26
Réunion,2.64
Saint-Barthélemy,2.42
Saint-Martin (French part),2.56
Samoa,6.75
Sao Tome and Principe,3.84
Senegal,8.66
Serbia,2.88
Seychelles,3.78
Sierra Leone,5.9
Singapore,3.29
Sint Maarten (Dutch part),2.58
Slovakia,2.8499999999999996
Slovenia,2.47
South Africa,3.36
South Sudan,5.95
Spain,2.635
State of Palestine,5.6850000000000005
Sudan,5.59
Suriname,3.94
Swaziland,4.74
Switzerland,2.225
Tajikistan,5.99
Thailand,3.69
Timor-Leste,5.27
Togo,4.55
Tokelau,5.24
Trinidad and Tobago,3.29
Turkey,4.07
Uganda,4.53
Ukraine,2.46
United Kingdom,2.31
United Republic of Tanzania,4.85
United States,2.49
Uruguay,2.79
Uzbekistan,5.24
Venezuela,4.33
Viet Nam,3.78
Yemen,6.67
Zambia,5.13
Zimbabwe,4.08
